circle_id,waseda_id,source_hash,名前,メインカテゴリ,サブカテゴリ,活動内容,活動日時・場所,サイトメモ,translation_status,review_status,review_note
C0001,3162,d56931f91fa0069f,Rubber-Ball Baseball Club,Sports (Ball Games),Baseball,"Our Rubber-Ball Baseball Club is a member of the Tokyo Six Universities Rubber-Ball Baseball Federation, and we compete in the spring and fall league tournaments with the goal of advancing to higher-level competitions. In recent years, we have achieved excellent results, including winning the Six Universities Fall League and reaching the quarterfinals of the East Japan Tournament. We are aware of our role as a leading team in the university rubber-ball baseball world and approach our daily practices with this mindset.Our members range from those with Koshien experience to those who have never played high school baseball, creating a diverse group. However, what we all have in common is a serious commitment to improving our skills, no matter how small the progress. We highly recommend this club to anyone who wants to aim for the national tournament in college or who is serious about baseball but finds a casual club insufficient!","Monday–Friday / 9:00 AM–11:00 AM or 1:00 PM / Shakujii Park, Ukima Park, etc.",None,machine_translated,not_reviewed,
C0002,3530,c96737fb38ffff71,School of Science and Engineering Hardball Baseball Club,Sports (Ball Games),Baseball,"We are the only hardball baseball club at Waseda University and are part of the Science and Engineering Six Universities League. We practice 1–3 times a week. We train daily with the goal of winning the Six Universities League championship. Our managers include students from various universities, including Waseda, Nihon Women’s University, Tokyo Women’s University, Seisen Women’s University, Gakushuin Women’s University, Tokyo Kasei University, Showa Women’s University, and Kyoritsu Women’s University.We hold practices and games at various locations, primarily at ballparks in Tokyo and its suburbs, including Komazawa Park Baseball Stadium, Edogawa Stadium, Jingu Indoor Practice Facility, Asaka Municipal Stadium, Onoji Stadium, Kamiyuzuki Stadium, and Tachikawa Park Stadium.In addition to our March training camp in Miyazaki, May orientation camp, September summer camp, games at Tokyo Dome, and overseas trips, we also have a full schedule of non-baseball events, such as gym activities. Although our name includes “Science and Engineering,” we have many liberal arts students as well!
/
/
/
/If you’ve seen our Instagram and are interested, please come check out a practice! We’re recruiting even outside of orientation periods, so feel free to contact us via DM on social media!","Weekdays (after classes) & Weekends
/
/
/
/Baseball fields in Tokyo or the Tokyo metropolitan area
/
/
/
/e.g., Komazawa Park Baseball Field, Edogawa Ward Baseball Stadium, Jingu Indoor Ballpark, Asaka Central Park Baseball Field",None,machine_translated,not_reviewed,
C0003,3396,6b522506d2247e8b,Edo no Kai (Rubber-Ball Baseball Club),Sports (Ball Games),Baseball,"We are the Edo Club, a rubber-ball baseball club celebrating our 50th anniversary this year! We practice twice a week, on Tuesdays and Fridays, with experienced and inexperienced players training together. As for club events, we hold a welcome camp in April and two-day, one-night tournament camps in June and November. During these camps, we form teams with members from various grades to play games, which greatly strengthens our team spirit.Furthermore, during our summer training camp in September, we not only practice baseball but also enjoy recreational activities like river play, a test of courage, and fireworks. We also hold a spring training camp in March. We actively participate in annual tournaments and work hard every day in practice with the goal of competing in the Pro-Sta and Kanto tournaments. In addition to baseball, we organize events that managers can enjoy as well, such as summer cruise parties, snowboarding camps, and class trips to Disney.","Every Tuesday and Friday / Between 3:00 PM and 7:00 PM / Kami-Igusa, Ukima, Tetsugakudo, etc.",None,machine_translated,not_reviewed,
C0004,3198,74043b20f10b14fd,Professional Baseball Fan Club Select,Sports (Ball Games),Baseball,"We all just love baseball! Our members range from fans of the 12 Japanese professional teams to fans of MLB and the Big Six universities. We not only go to games together, but we also have plenty of fun events, like playing amateur baseball at Yokohama Stadium and running a booth at the Waseda Festival! Plus, we play rubber-ball baseball twice a week at a Tokyo Metropolitan Park baseball field! We’re not exactly a powerhouse team, but our strength lies in everyone—beginners and women included—playing together in a friendly atmosphere. So if you’re looking to play casual rubber-ball baseball or want to make friends who support the same team, come join Select for the best college experience! Students from other universities and those participating in multiple clubs are also very welcome!","Every Tuesday & Friday / 5:00 PM – 9:00 PM / Tokyo Metropolitan Park Baseball Field (casual games), Irregular / Major baseball stadiums in the Kanto region (watching games)",None,machine_translated,not_reviewed,
C0005,3399,bb3c5377bd7ae9ab,Waseda University Women’s Rubber-Ball Baseball Club WASEBI,Sports (Ball Games),Baseball,"Hello! We are the only women’s rubber-ball baseball club at Waseda! We practice about 3–4 days a week at fields in Tokyo! The best thing about WASEBI is that we take baseball seriously! We warmly welcome anyone who wants to stay active after entering university, as well as those looking to try something new!Most of our team members started playing baseball in college, and some have no prior sports experience at all! Even so, our coach and upperclassmen provide kind and thorough guidance, so even beginners can become regular players! We also actively welcome international students, so you can enjoy international exchange while playing baseball!!
/
/
/
/But let’s be real—as a college student, you’ll want to work part-time! And you’ll want to focus on your studies (?)! No problem!! We have plenty of players who balance practice with work, and you can work up to the maximum allowed under your parents’ tax bracket or even take a full course load! If you’re thinking, “This sounds like a stuffy baseball group that’s all about practice,” think again! WASEBI isn’t just a baseball team! On our days off, we go to a certain theme park, eat delicious sweets, and—before we know it—end up playing baseball anyway. We all get along great and have fun, regardless of whether we’re upperclassmen or underclassmen!!
/
/
/
/You don’t need a special reason to start playing baseball! If you’re reading this page, you’re probably already more interested in women’s baseball!! Come try it out, and you’ll definitely want to join!! We guarantee an absolutely wild and unforgettable youth!! We’re waiting for you!","1–2 times on weekdays (determined based on members’ schedules), Saturdays, Sundays /
/
/Long breaks: Tuesdays, Thursdays, Saturdays, Sundays
/
/Fields in Tokyo",None,machine_translated,not_reviewed,
C0006,3525,de84498f49518bd6,Waseda University School of Science and Engineering Rubber-Ball Baseball Club,Sports (Ball Games),Baseball,"We operate under the nickname ""Rikonan."" All players are students from the School of Science and Engineering, and we practice twice a week on weekdays at a field in Tokyo. Recently, we have achieved good results in the Waseda League and other competitions, and we practice daily with the goal of playing at Jingu Stadium. We also hold training camps six times a year and incorporate various events to ensure a fun and friendly atmosphere throughout the year.Examples of our events include a freshman welcome BBQ, a summer cruise, and a Christmas party, among many others.In addition, we freely organize numerous activities such as class trips and training camps. We are recruiting both players and managers year-round, so please feel free to contact us!! Whether you want to play baseball, enjoy sports, cheer on the team with a big group, or find friends to share your college life with, why not join us? Let’s make the most of our college life together!!","Two days a week (irregular schedule) / 7:00 PM–9:00 PM (sometimes starting at 5:00 PM) / Johoku Park, Tetsugakudo, Kamitakada",None,machine_translated,not_reviewed,
C0007,3411,c0878cd81c5859a0,Inaho Kickers,Sports (Ball Games),Soccer,"Waseda’s largest and strongest soccer club, made up entirely of Waseda students. We hold practices on Mondays, Wednesdays, and Fridays, aiming to help both players and managers grow and win titles.","Every Monday, Wednesday, and Friday / Koishikawa, Akabane, Shinsuna",None,machine_translated,not_reviewed,
C0008,3521,90af0d9677d16139,Waseda University School of Science and Engineering Soccer Club,Sports (Ball Games),Soccer,"A soccer club commonly known as “Rikosa” or “Waseda Rikosa.” Practices are held twice a week, generally on Mondays and Thursdays, while weekends are reserved for matches, training camps, and away games. With over 50 years of history, it is one of the oldest soccer clubs at Waseda University. In the 2013 academic year, the club won the university-wide championship to determine the strongest soccer club at Waseda and placed third in the Magazine Cup, the largest tournament in the club scene.In the 2015 academic year, the club won the Second Division of the New Kanto League, which brings together strong teams from the Kanto region, and placed sixth in the Magazine Cup. Furthermore, in the 2016 academic year, the club advanced through the Kanto qualifiers to reach the national tournament, where it finished as runner-up.While the club was originally composed mainly of students from the School of Science and Engineering, in recent years there has been a significant increase in members from liberal arts faculties such as the School of Commerce, School of Political Science and Economics, School of Sport Sciences, and School of Humanities, as well as students from other faculties. As an inter-university club, the managers include both Waseda students and students from other universities. There is no admission fee, and club dues are collected on an irregular basis.","Every Monday, Thursday, and Saturday / Ochiai, Koishikawa, Maihama, Tanashi, etc.",None,machine_translated,not_reviewed,
C0009,3554,010dcac88dee17dc,Faculty of Human Sciences Soccer Club: Human F.C.,Sports (Ball Games),Soccer,"We belong to the ""New Kanto Football League,"" the premier college soccer league. Our club consists of 120 members. Aiming to win the league title and become the best in Japan, we practice and play scrimmages 3–4 times a week around campus. We have a wide range of members, from those with experience in national tournaments to complete beginners. Our hallmarks are passionate, spirited play and an amazingly cheerful atmosphere.In the past, we have achieved consecutive victories in the Waseda University Intra-School Tournament and won the national championship. We warmly welcome not only those who want to play soccer, but also anyone seeking an environment filled with passion or simply looking to enjoy a fun campus life. Join us at one of the largest clubs on the Tokorozawa Campus and make the most of your student life. We actively host recruitment events, and new members are always welcome, even if you join mid-semester. Please feel free to contact us.","Every Monday, Wednesday, and Friday / Around Tokorozawa",None,machine_translated,not_reviewed,
C0010,3412,858c2f65eac2c42b,Rivelde,Sports (Ball Games),Soccer,"Hello! We’re Liberdade, an officially recognized futsal club at Waseda University!
/
/
/
/We meet every Sunday in Kichijoji, with 55 male and 35 female members!
/
/Since many of the guys only have experience from middle school or earlier, we keep things laid-back!
/
/The women are players too, so we sometimes play futsal just among ourselves or join the men’s games! Of course, most of them are beginners! The club is full of kind and lively people, so it’s really fun—before you know it, you’ll find yourself coming back every week!
/
/
/
/We also organize activities beyond futsal, like summer and fall training camps, snowboarding trips, and various events, so you can be sure your time with us will be fulfilling in every way!!
/
/We’re super close within the club—we go out for meals or karaoke before practice, and we even go on trips split by grade level. We’re just really, really close!!/
/
/
/
/Liberdade has a really laid-back vibe in the best way possible. It feels like high school break time—we have as much fun as we can within reasonable limits!!
/
/
/
/If you want to play futsal but also want to join a club that organizes training camps and events!! If you’re someone who wants to have the absolute best time while being responsible and staying within reasonable limits!! Liberdade is definitely the best choice for you!!
/
/
/
/If you think it looks even a little bit fun or like it might be a good fit for you, please feel free to contact us!
/
/
/
/We look forward to welcoming you to join our friendly club!","Every Sunday, 4:00 PM – 6:00 PM, Futsal Park Kichijoji",None,machine_translated,not_reviewed,
