circle_id,waseda_id,source_hash,名前,メインカテゴリ,サブカテゴリ,活動内容,活動日時・場所,サイトメモ,translation_status,review_status,review_note
C0001,3162,d56931f91fa0069f,軟式棒球部,體育（球類）,棒球,我們的軟式棒球部隸屬於東京六大學軟式棒球聯盟，參加春季和秋季聯賽，目標是晉級更高水準的賽事。近年來，我們取得了優異的成績，例如贏得六大學秋季聯賽冠軍，以及在東日本錦標賽中躋身前八名。我們深知自己是大學軟式棒球界的一支勁旅，因此我們每天都努力訓練。我們的隊員背景多元，既有參加過甲子園比賽的經驗豐富的選手，也有高中棒球經驗尚淺的新人，但我們共同的特點是認真對待每一項運動，力求進步。如果您立志在大學期間參加全國錦標賽，或者您想認真打棒球但覺得俱樂部環境不夠理想，那麼我們誠摯地邀請您加入我們！,週一至週五 / 上午 9:00 至 11:00 或下午 1:00 / 石神井公園、宇喜間公園等。,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0002,3530,c96737fb38ffff71,科學與工程棒球俱樂部,體育（球類）,棒球,"我們是早稻田大學唯一的硬式棒球俱樂部，隸屬於六校理工聯盟。我們每週訓練1-3次，每天都刻苦訓練，目標是贏得六校聯盟的冠軍。我們的教練團由來自早稻田大學、日本女子大學、東京女子大學、聖泉大學、學習院女子大學、東京化成大學、昭和女子大學和共立女子大學等各大學的學生組成。我們的訓練和比賽場地遍佈東京及週邊地區，例如駒澤公園棒球場、江戶川球場、神宮室內棒球場、朝霞市立棒球場、大野寺球場、上弓球場和立川公園棒球場。除了3月份的宮崎集訓、5月份的新成員歡迎營、9月份的夏令營、東京巨蛋的比賽以及海外巡迴賽之外，我們還有許多其他活動，例如在體育館進行的各種休閒活動。雖然我們的名字裡有“科學與工程”，但我們也有很多文科生！


/
/
/
/如果您在瀏覽我們的Instagram或其他貼文後感興趣，歡迎來觀看我們的試聽課程！即使在迎新期之外，我們也在招收學生，所以歡迎隨時透過社群媒體私訊聯繫我們！","平日（課後）和週末

/
/
/
/ 東京市內或附近的棒球場

/
/
/
/ 例如：駒澤公園棒球場、江戶川區棒球場、神宮室內體育館、朝霞中央公園棒球場",無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0003,3396,6b522506d2247e8b,江戶之會（軟式棒球部）,體育（球類）,棒球,我們是江戶之會軟式棒球部，今年迎來了50週年！我們每週二和週五訓練兩次，經驗豐富的球員和新手都會一起參與。俱樂部活動豐富多彩，包括四月的新會員迎新營，以及六月和十一月為期兩天一夜的錦標賽訓練營。這些訓練營讓球員有機會與不同年級的學生組隊，增進彼此間的友誼。此外，我們九月的夏令營不僅包含棒球訓練，還有各種娛樂活動，例如在河裡玩耍、挑戰膽量遊戲和煙火表演。三月我們也會舉辦春訓營。除了棒球之外，我們還積極參與年度錦標賽，每天努力訓練，目標是在職業球場和關東地區錦標賽中取得好成績。除了棒球之外，我們還會舉辦一些讓教練們也能享受的活動，例如夏季遊輪之旅、滑雪營和年級迪士尼樂園之旅。,每週二和週五下午 3 點至 7 點 / 上井草、宇喜間、鐵學堂等,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0004,3198,74043b20f10b14fd,職棒球迷圈精選,體育（球類）,棒球,這裡每個人都熱愛棒球！我們的成員涵蓋範圍很廣，從所有12支職業棒球隊的球迷到美國職棒大聯盟（MLB）和東京大學棒球聯盟（Tokyo 六大學 University League）的球迷都有。我們不僅一起去看比賽，還舉辦各種有趣的活動，例如在橫濱體育場打業餘棒球，在早稻田祭上擺攤！我們每週還會在都會公園的棒球場上打兩次軟式棒球！我們的程度不算特別高，但新手和女生都能一起玩得很開心，所以如果你想打打棒球，或是結交同一支球隊的球迷朋友，那就加入我們，體驗最棒的大學生活吧！我們也熱烈歡迎其他大學的學生以及其他社團的成員加入！,每週二和週五下午 5 點至晚上 9 點，在東京市立公園的棒球場（業餘棒球）；偶爾在關東地區的主要棒球場（觀看棒球比賽）。,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0005,3399,bb3c5377bd7ae9ab,早稻田大學女子軟式棒球部 WASEBI,體育（球類）,棒球,"大家好！我們是早稻田大學唯一的女子軟式棒球部！我們每週在東京的場地訓練3-4天！ WASEBI的優勢在於，你可以認真對待棒球！我們歡迎所有即使進入大學後也想保持運動的同學，以及想要嘗試新鮮事物的同學！我們的大部分隊員都是在大學才開始打棒球的，也有一些隊員之前無運動經驗！即便如此，我們的教練和前輩們都非常友善，會提供全面的指導，所以即使是新手也能很快融入團隊！我們也積極歡迎國際學生，讓你在打棒球的同時享受國際交流的樂趣！

/
/
/
/當然，身為大學生，你一定也想兼職工作！而且你一定也想專注於學業（？）！別擔心！我們許多隊員都能平衡訓練和工作，而且完全可以做到工作到免稅額度，或是獲得全部學分！如果你認為我們只是一個熱血沸騰、只顧訓練的棒球團體，那就大錯特錯了！ WASEBI遠不止是棒球隊！休息日，我們會去某個主題樂園，吃美味的甜點，但不知怎的，最後總是會一起打棒球。大家相處融洽，玩得不亦樂乎，完全不分年紀！

/
/
/
/ 打棒球不需要任何理由！讀完這篇文章，你一定會對女子棒球更感興趣！如果你來試訓，你一定會想加入我們！我們保證你會擁有一個無比精彩難忘的青春！我們期待你的加入！","平日：1-2次（根據俱樂部成員的日程安排），（週六），週日 /

/
/ 長假：週二、週四、週六、週日

/
/ 場地位於東京",無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0006,3525,de84498f49518bd6,早稻田大學理工學部軟式棒球部,體育（球類）,棒球,我們以「理光南」為暱稱。所有隊員都是理工科學生，每週工作日在東京的球場進行兩次訓練。最近，我們在早稻田聯賽等聯賽中取得了不錯的成績，每天都在努力訓練，目標是登上神宮球場。我們每年舉辦六次集訓，全年都保持著輕鬆友好的氛圍，並組織各種活動。例如，新生歡迎燒烤、夏季遊船之旅和聖誕派對。此外，我們還有許多其他活動，例如年級組旅行和參加集訓。我們全年都在招募隊員和教練，歡迎隨時與我們聯繫！如果您對棒球、運動、與大家一起加油助威，或是想結交朋友一起享受大學生活感興趣，何不來理光南看看呢？讓我們在理光南擁有最美好的大學生活吧！,平日不定期開放，每週兩天 / 19:00 - (17:00 -) 21:00 / 城北公園哲學館，上高田,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0007,3411,c0878cd81c5859a0,稻穗踢球者,體育（球類）,足球,這是早稻田大學規模最大、實力最強的足球俱樂部，成員全由早稻田校友組成。每週一、三、五，球員和教練都會進行訓練，努力提升球技，最終目標是贏得冠軍。,每週一、三、五 / 小石川、赤羽、新砂,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0008,3521,90af0d9677d16139,早稻田大學理工學院足球俱樂部,體育（球類）,足球,這支通常被稱為“Rikosa”或“Sori”的足球俱樂部每週訓練兩次，通常是周一和周四，週末則進行比賽、集訓和客場比賽。該俱樂部擁有超過50年的歷史，是早稻田大學最古老的足球俱樂部之一。 2013年，他們贏得了校際聯合錦標賽的冠軍，該賽事旨在決定早稻田大學最強的足球俱樂部，並在規模最大的足球俱樂部賽事——雜誌盃中獲得第三名。 2015年，他們贏得了新關東聯賽乙級聯賽的冠軍，該聯賽匯集了關東地區的眾多強隊，並在雜誌杯中獲得第六名。此外，2016年，他們在贏得關東地區預選賽後，在全國錦標賽中獲得亞軍。雖然該俱樂部最初主要由理工科學生組成，但近年來，來自商科、政治經濟學、體育科學、人類科學等人文學科以及其他系所的學生人數有所增加。該社團是一個跨校社團，由早稻田大學和其他大學的代表組成。社團不收取會費，會費也不定期收取。,每週一、四、六 / 落合、小石川、舞濱、田無等,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0009,3554,010dcac88dee17dc,人文科學學院足球俱樂部，Human F.C.,體育（球類）,足球,我們隸屬於新關東足球聯賽，這是俱樂部足球的最高級別聯賽。我們的足球俱樂部共有120名成員。我們每週在校園內進行3-4次訓練和練習賽，目標是贏得「聯賽冠軍」和「日本最佳」的稱號。我們的成員水平參差不齊，既有參加過全國比賽的經驗豐富的球員，也有完全的初學者。我們的優勢在於充滿熱情和熱情的比賽態度，以及令人驚訝的樂觀開朗。過去，我們曾連續贏得早稻田大學校際聯賽冠軍和全國冠軍。無論你是想踢足球，還是想尋找一個能讓你感受到足球激情的環境，又或者只是想體驗精彩的校園生活，都歡迎加入我們。讓我們在所澤校區最大的俱樂部裡，一起享受精彩的大學生活吧！我們積極招募新成員，也歡迎你在學年中途加入。請聯絡我們。,每週一、三、五 / 所澤地區,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0010,3412,858c2f65eac2c42b,里弗迪德,體育（球類）,足球,"您好！我們是Liberdade，早稻田大學官方認可的五人制足球俱樂部！

/
/
/
/我們每週日在吉祥寺訓練，共有55名男生和35名女生！

/
/很多男生都有中學時期的五人制足球經驗，所以我們的訓練節奏比較輕鬆！

/
/女生也都是五人制足球愛好者，所以我們可以單獨和女生一起踢，也可以加入男生的隊伍！當然，她們中的大多數都是初學者！這裡充滿熱情友善的氛圍，大家活力四射，相信您很快就會愛上這裡，每週都來！

/
/
/
/除了五人制足球，我們還舉辦夏令營、秋季營、單板滑雪營，並策劃各種活動，保證您在這裡能獲得足球之外的豐富體驗！

/

/我們俱樂部成員關係非常親密，訓練前經常一起吃飯、唱卡拉OK，還會按年級一起旅行——我們真的非常要好！ /

/

/
/Liberdade俱樂部氛圍輕鬆自在，就像高中課間休息一樣，你可以盡情享受樂趣，同時又能保持適度！

/

/
/如果你想踢五人制足球，又想加入一個有訓練營和活動的俱樂部！如果你想在保持理智和適度的同時玩得盡興，那麼Liberdade絕對是你的最佳選擇！

/

/
/如果你覺得這聽起來有點意思，或覺得它可能適合你，請隨時與我們聯繫！

/

/
/我們期待你加入我們這個友善的俱樂部！",每週日 16:00-18:00 吉祥寺五人制足球公園,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0011,3410,41dfe0b6ad65affe,足球觀賽派對,體育（球類）,足球,我們的足球觀賽俱樂部是一個熱愛足球、熱衷於在日本各地球場為各自支持的球隊加油的團體。雖然我們不嚴格組織團體活動，但我們主要針對支持同一支球隊並自由安排時間觀看比賽的成員。不過，我們也會定期舉辦聚會和五人制足球比賽等團體活動。此外，我們每年秋季還會舉辦一次活動，邀請足球界的知名人士進行講座。近年來，我們曾邀請日本國家隊前球員佐藤久人（Hisato Sato）和解說員下田恆之（Tsuneyuki Shimoda）。參加比賽和活動並非強制性的，您可以根據自己的步調加入。無論您喜歡的是J聯賽、國際賽場還是高中聯賽，只要熱愛足球，我們都歡迎您的加入。讓我們一起在球場上為球隊加油！,基本上，週末期間，全國各地的體育場都會舉行比賽。,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0012,3775,dcf48610f6c9d552,古斯塔足球俱樂部,體育（球類）,足球,"我們是隸屬於「新關東聯賽」甲級聯賽的頂尖大學足球俱樂部，該聯賽是俱樂部足球的最高殿堂。俱樂部成立於2009年，擁有超過150名成員，歷史相對較短。儘管如此，我們取得了持續的佳績，包括曾獲得全國冠軍，並在近年來一直保持著頂尖球隊的地位。


/
/
/
/我們的球員全部是早稻田大學的學生，背景各異，既有參加過全國錦標賽和青年隊比賽的球員，也有完全的初學者。


/
/
/
//我們的目標是成為“日本第一足球俱樂部”，我們非常重視在足球競技和俱樂部生活樂趣之間取得平衡。


/
/
/
/由於成立時間不長，我們擁有自由開放的氛圍。我們歡迎想要充分享受足球和大學生活的新同學加入。如果您有興趣，請透過社交媒體與我們聯繫。",每週三次，主要為週一、週三和週四 / 時間不固定（主要為13:00-15:00） / 小石川、落合、西戶山、代代木,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0013,3553,33392a9a89353fb3,@（標記處）,體育（球類）,足球,"Atmark 最棒的地方在於，任何人都能享受踢足球的樂趣！無論你是大學才開始踢球，還是從小就開始踢球，我們都會一起訓練。這裡沒有考勤制度，這是一個自由開放的俱樂部，只有想來訓練的人才能參加。俱樂部成員相處融洽，經常在訓練後一起吃飯、聊天。我們舉辦豐富的活動，包括每年四次訓練營和一次夏令營。此外，Atmark 致力於培養各個年級學生之間的深厚情誼，所以沒有「大三退休」的說法。這是一個你可以享受四年大學時光的社團。我們也會舉辦一些畢業生參與的活動，因此我們與校友保持著良好的關係。

/
/
/
/讓我們一起踢足球吧！ ！",每週三、六下午3點至5點 / 北野運動場、體育館、航空公園,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0014,3409,a4ab7a58e9b7693f,足球俱樂部,體育（球類）,五人制足球,我們足球俱樂部的魅力在於，儘管近年來取得了一些成績，但我們仍然保持著友善的氛圍和靈活的訓練制度！無論是教練還是球員，女生都充滿活力，非常有趣（哈哈）。我們每週會進行一到兩次訓練和比賽，此外還有許多活動和聚會。我們追求只有大學生才能享受的樂趣，例如去迪士尼樂園、參加萬聖節和聖誕節派對、滑雪訓練營等等！許多高年級的學姐都在等你！讓我們一起在足球俱樂部創造大學生活中最美好的回憶吧！,每週三/下午5點/豐島園,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0015,3413,f01ef784ceb33c69,主街足球俱樂部,體育（球類）,五人制足球,這支隊伍由早稻田大學的男生和來自各女子大學的女生組成。我們每週四在高田馬場的西十山公園訓練，週日則在東京的室內五人制足球場訓練。我們是一支以享受比賽樂趣為首要目標的隊伍，而非以勝負為最高目標的競技隊伍，因此氛圍輕鬆愉快，即使是初學者和女性也能輕鬆享受五人制足球的樂趣。在正式比賽中，每個人都會全力以赴，但日常訓練和俱樂部比賽總是充滿樂趣。我們也會舉辦俱樂部比賽，並與早稻田大學的其他俱樂部進行友誼賽。除了每週四和週日的常規訓練外，我們每年還會舉辦三次集訓（五月：迎新營，暑假：夏令營，春假：春令營），以及各種休閒活動，例如運動會、健走活動、駕車兜風和滑雪。,每週四、日 / 下午 3:30 / 錦糸町王子西登山公園,網站（俱樂部）訪問限制,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
